release.date,release.time,id.prefix,last.four,release.location,treatment
2024-05-24,9:55:00 AM,384.3a70c4,fc59,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f937,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd8d,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fcf4,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f90e,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa2f,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe44,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f9e3,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb25,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb42,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd06,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc70,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa69,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe9d,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f97d,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f990,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f9c7,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa4a,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc36,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fdb7,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe79,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fdb6,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb3a,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd3b,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb43,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc8a,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f9c0,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd2c,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd33,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb4f,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,faff,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa01,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fcdf,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc0a,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fda4,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc75,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd19,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fc64,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fbc6,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fbbb,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fe34,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fd63,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fb58,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,f04c,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fa7b,ham.us,archimedes2
2024-05-24,9:55:00 AM,384.3a70c4,fcb5,ham.us,archimedes2
2024-05-24,9:45:20 AM,384.3a70c4,fc29,ham.us,archimedes2
2024-05-24,9:45:20 AM,384.3a70c4,fd53,ham.us,archimedes2
