Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Transmitter Type,Sensor Precision
2024-05-09 23:04,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:04,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:04,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-09 23:04,VR2W-105458,A69-1604-37307,,,,,Hammersley Deep,,,,
2024-05-09 23:05,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:05,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:05,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:05,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-09 23:05,VR2W-105458,A69-1604-37307,,,,,Hammersley Deep,,,,
2024-05-09 23:06,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:06,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:07,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:07,VR2W-105458,A69-1604-37307,,,,,Hammersley Deep,,,,
2024-05-09 23:07,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:07,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:08,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:08,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:08,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:09,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:09,VR2W-105458,A69-1604-37307,,,,,Hammersley Deep,,,,
2024-05-09 23:09,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:09,VR2W-105458,A69-1604-37326,,,,,Hammersley Deep,,,,
2024-05-09 23:09,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:09,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:09,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:10,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:10,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:11,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:11,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:12,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:12,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:13,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:13,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:13,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:13,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-09 23:14,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:14,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:14,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 23:15,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:15,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:16,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:16,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:16,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:16,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 23:17,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 23:18,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:18,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:19,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:19,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-09 23:20,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:20,VR2W-105458,A69-1604-37326,,,,,Hammersley Deep,,,,
2024-05-09 23:20,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:21,VR2W-105458,A69-1604-37316,,,,,Hammersley Deep,,,,
2024-05-09 23:21,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:22,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:22,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 23:22,VR2W-105458,A69-1604-37327,,,,,Hammersley Deep,,,,
2024-05-09 23:23,VR2W-105458,A69-1604-37327,,,,,Hammersley Deep,,,,
2024-05-09 23:23,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:23,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 23:23,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:24,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:25,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:25,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:25,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:25,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:26,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:26,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:26,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:26,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:27,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:27,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:27,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:28,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:28,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:29,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:30,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:30,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:31,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:32,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:32,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:33,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:33,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:33,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:33,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:34,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:34,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:35,VR2W-105458,A69-1604-37316,,,,,Hammersley Deep,,,,
2024-05-09 23:35,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:35,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:35,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:35,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:35,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:35,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:35,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:36,VR2W-105458,A69-1604-37316,,,,,Hammersley Deep,,,,
2024-05-09 23:36,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:36,VR2W-105458,A69-1604-37316,,,,,Hammersley Deep,,,,
2024-05-09 23:36,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:37,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-09 23:37,VR2W-105458,A69-1604-37299,,,,,Hammersley Deep,,,,
2024-05-09 23:38,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:38,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:38,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:38,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:39,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:39,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:40,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:40,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:40,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-09 23:40,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:41,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:41,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:41,VR2W-105458,A69-1604-37316,,,,,Hammersley Deep,,,,
2024-05-09 23:41,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37316,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:42,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:43,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:43,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:44,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:45,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:45,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-09 23:45,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:46,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:46,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:47,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:48,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:48,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:49,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-09 23:49,VR2W-105458,A69-1604-37316,,,,,Hammersley Deep,,,,
2024-05-09 23:49,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:49,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:50,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:51,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:52,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-09 23:52,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:52,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:54,VR2W-105458,A69-1604-37360,,,,,Hammersley Deep,,,,
2024-05-09 23:55,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:55,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-09 23:55,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:55,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:56,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:56,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-09 23:57,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-09 23:57,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-09 23:57,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:57,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:58,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-09 23:59,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-09 23:59,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-09 23:59,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-09 23:59,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:00,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-10 0:00,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:00,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-10 0:00,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-10 0:01,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-10 0:01,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:01,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-10 0:01,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:02,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:03,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-10 0:03,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:03,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:03,VR2W-105458,A69-1604-37307,,,,,Hammersley Deep,,,,
2024-05-10 0:04,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:04,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:05,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:05,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:05,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:05,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:06,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-10 0:07,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-10 0:08,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:08,VR2W-105458,A69-1604-37336,,,,,Hammersley Deep,,,,
2024-05-10 0:08,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-10 0:09,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:09,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:09,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:09,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-10 0:09,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-10 0:10,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:10,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:10,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:10,VR2W-105458,A69-1604-37361,,,,,Hammersley Deep,,,,
2024-05-10 0:11,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:11,VR2W-105458,A69-1604-37317,,,,,Hammersley Deep,,,,
2024-05-10 0:11,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:12,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-10 0:12,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:12,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:13,VR2W-105458,A69-1604-37335,,,,,Hammersley Deep,,,,
2024-05-10 0:14,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-10 0:14,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:15,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:15,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-10 0:15,VR2W-105458,A69-1604-37343,,,,,Hammersley Deep,,,,
2024-05-10 0:16,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-10 0:16,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-10 0:17,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-10 0:17,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:17,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:17,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:17,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:18,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:18,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:18,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:18,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:19,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:19,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:19,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:20,VR2W-105458,A69-1604-37353,,,,,Hammersley Deep,,,,
2024-05-10 0:20,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:21,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:21,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:21,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:22,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:22,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:22,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:22,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:23,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:23,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:23,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:23,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:24,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:24,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:24,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:24,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:25,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:25,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:25,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:26,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:26,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:26,VR2W-105458,A69-1604-37301,,,,,Hammersley Deep,,,,
2024-05-10 0:27,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:27,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:27,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:27,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:28,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:28,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:28,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-10 0:28,VR2W-105458,A69-1604-37344,,,,,Hammersley Deep,,,,
2024-05-10 0:28,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:29,VR2W-105458,A69-1604-37334,,,,,Hammersley Deep,,,,
2024-05-10 0:29,VR2W-105458,A69-1604-37345,,,,,Hammersley Deep,,,,
2024-05-10 0:29,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:29,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
2024-05-10 0:30,VR2W-105458,A69-1604-15337,,,,,Hammersley Deep,,,,
2024-05-10 0:30,VR2W-105458,A69-1604-37352,,,,,Hammersley Deep,,,,
2024-05-10 0:30,VR2W-105458,A69-1604-37362,,,,,Hammersley Deep,,,,
2024-05-10 0:30,VR2W-105458,A69-1604-37308,,,,,Hammersley Deep,,,,
